time,value
0.0,1
23.219954648526077,1
46.439909297052154,1
69.65986394557822,1
92.87981859410431,1
116.09977324263039,1
139.31972789115645,1
162.53968253968253,1
185.75963718820861,1
208.9795918367347,1
232.19954648526078,1
255.41950113378684,1
278.6394557823129,1
301.859410430839,1
325.07936507936506,1
348.29931972789115,1
371.51927437641723,1
394.7392290249433,1
417.9591836734694,1
441.1791383219955,1
464.39909297052156,1
487.6190476190476,1
510.8390022675737,1
534.0589569160998,1
557.2789115646258,1
580.4988662131519,1
603.718820861678,1
626.9387755102041,1
650.1587301587301,1
673.3786848072563,1
696.5986394557823,1
719.8185941043084,1
743.0385487528345,1
766.2585034013605,1
789.4784580498866,1
812.6984126984127,1
835.9183673469388,1
859.1383219954648,1
882.358276643991,1
905.578231292517,1
928.7981859410431,1
952.0181405895692,1
975.2380952380952,1
998.4580498866213,1
1021.6780045351474,1
1044.8979591836735,1
1068.1179138321995,1
1091.3378684807255,1
1114.5578231292516,1
1137.7777777777778,1
1160.9977324263039,1
1184.2176870748299,1
1207.437641723356,1
1230.6575963718822,1
1253.8775510204082,1
1277.0975056689342,1
1300.3174603174602,1
1323.5374149659863,1
1346.7573696145125,1
1369.9773242630386,1
1393.1972789115646,1
1416.4172335600906,1
1439.6371882086169,1
1462.857142857143,1
1486.077097505669,1
1509.297052154195,1
1532.517006802721,1
1555.7369614512472,1
1578.9569160997733,1
1602.1768707482993,1
1625.3968253968253,1
1648.6167800453516,1
1671.8367346938776,1
1695.0566893424036,1
1718.2766439909296,1
1741.4965986394557,1
1764.716553287982,1
1787.936507936508,1
1811.156462585034,1
1834.37641723356,1
1857.5963718820863,1
1880.8163265306123,1
1904.0362811791383,1
1927.2562358276643,1
1950.4761904761904,1
1973.6961451247166,1
1996.9160997732426,1
2020.1360544217687,1
2043.3560090702947,1
2066.5759637188207,1
2089.795918367347,1
2113.015873015873,1
2136.235827664399,1
2159.4557823129253,1
2182.675736961451,1
2205.8956916099773,1
2229.115646258503,1
2252.3356009070294,1
2275.5555555555557,1
2298.7755102040815,1
2321.9954648526077,1
2345.215419501134,1
2368.4353741496598,1
2391.655328798186,1
2414.875283446712,1
2438.095238095238,1
2461.3151927437643,1
2484.53514739229,1
2507.7551020408164,1
2530.975056689342,1
2554.1950113378684,1
2577.4149659863947,1
2600.6349206349205,1
2623.8548752834467,1
2647.0748299319725,1
2670.294784580499,1
2693.514739229025,1
2716.734693877551,1
2739.954648526077,1
2763.1746031746034,1
2786.394557823129,1
2809.6145124716554,1
2832.834467120181,1
2856.0544217687075,1
2879.2743764172337,1
2902.4943310657595,1
2925.714285714286,1
2948.9342403628116,1
2972.154195011338,1
2995.374149659864,1
3018.59410430839,1
3041.814058956916,1
3065.034013605442,1
3088.253968253968,1
3111.4739229024945,1
3134.6938775510203,1
3157.9138321995465,1
3181.1337868480723,1
3204.3537414965986,1
3227.573696145125,1
3250.7936507936506,1
3274.013605442177,1
3297.233560090703,1
3320.453514739229,1
3343.673469387755,1
3366.893424036281,1
3390.1133786848072,1
3413.3333333333335,1
3436.5532879818593,1
3459.7732426303855,1
3482.9931972789113,1
3506.2131519274376,1
3529.433106575964,1
3552.6530612244896,1
3575.873015873016,1
3599.0929705215417,1
3622.312925170068,1
3645.532879818594,1
3668.75283446712,1
3691.9727891156463,1
3715.1927437641725,1
3738.4126984126983,1
3761.6326530612246,1
3784.8526077097504,1
3808.0725623582766,1
3831.292517006803,1
3854.5124716553287,1
3877.732426303855,1
3900.9523809523807,1
3924.172335600907,1
3947.3922902494332,1
3970.612244897959,1
3993.8321995464853,1
4017.052154195011,1
4040.2721088435374,1
4063.4920634920636,1
4086.7120181405894,1
4109.931972789115,1
4133.1519274376415,1
4156.371882086168,1
4179.591836734694,1
4202.81179138322,1
4226.031746031746,1
4249.251700680272,1
4272.471655328798,1
4295.691609977324,1
4318.911564625851,1
4342.131519274376,1
4365.351473922902,1
4388.571428571428,1
4411.791383219955,1
4435.011337868481,1
4458.231292517006,1
4481.451247165533,1
4504.671201814059,1
4527.891156462585,1
4551.111111111111,1
4574.331065759638,1
4597.551020408163,1
4620.770975056689,1
4643.990929705215,1
4667.210884353742,1
4690.430839002268,1
4713.650793650793,1
4736.8707482993195,1
4760.090702947846,1
4783.310657596372,1
4806.530612244898,1
4829.750566893424,1
4852.97052154195,1
4876.190476190476,1
4899.410430839002,1
4922.630385487529,1
4945.850340136054,1
4969.07029478458,1
4992.2902494331065,1
5015.510204081633,1
5038.730158730159,1
5061.950113378684,1
5085.170068027211,1
5108.390022675737,1
5131.609977324263,1
5154.829931972789,1
5178.049886621315,1
5201.269841269841,1
5224.489795918367,1
5247.7097505668935,1
5270.92970521542,1
5294.149659863945,1
5317.369614512471,1
5340.589569160998,1
5363.809523809524,1
5387.02947845805,1
5410.249433106575,1
5433.469387755102,1
5456.689342403628,1
5479.909297052154,1
5503.1292517006805,1
5526.349206349207,1
5549.569160997732,1
5572.789115646258,1
5596.009070294785,1
5619.229024943311,1
5642.448979591837,1
5665.668934240362,1
5688.888888888889,1
5712.108843537415,1
5735.328798185941,1
5758.548752834467,1
5781.768707482993,1
5804.988662131519,1
5828.208616780045,1
5851.428571428572,1
5874.648526077098,1
5897.868480725623,1
5921.088435374149,1
5944.308390022676,1
5967.528344671202,1
5990.748299319728,1
6013.9682539682535,1
6037.18820861678,1
6060.408163265306,1
6083.628117913832,1
6106.8480725623585,1
6130.068027210884,1
6153.28798185941,1
6176.507936507936,1
6199.727891156463,1
6222.947845804989,1
6246.167800453514,1
6269.3877551020405,1
6292.607709750567,1
